traffic_source_type,traffic_source_description
0,Direct or unknown
1,YouTube advertising
3,Browse features
4,YouTube channels
5,YouTube search
7,Suggested videos
8,Other YouTube features
9,External
11,Video cards and annotations
14,Playlists
17,Notifications
18,Playlist pages
19,Programming from claimed content
20,Interactive video endscreen
23,Stories
24,Shorts
25,Product Pages
26,Hashtag Pages
27,Sound Pages
28,Live redirect
30,Remixed video
31,Vertical live feed
32,Related video
